record_id,po_number,line_no,sku,triage_label,scenario,label_what,label_who,mitigation_steps,po_qty,po_price,asn_qty,inv_qty,inv_price,qty_delta,qty_delta_pct,price_diff_pct,has_po_ref,is_repeat,supplier_category,supplier_risk_tier,supplier_exception_rate_30d,days_order_to_ship,days_ship_to_invoice,days_order_to_invoice
PO260117000259-L0004,PO260117000259,4,5552-2244-0004,MANUAL_REVIEW,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,222.0,138.68,222.0,222.0,138.68,0.0,0.0,0.0,1,0,SERVICES,HIGH,0.205018,6,0,6
PO260117000378-L0001,PO260117000378,1,3056-8446-0001,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,117.0,225.13,117.0,117.0,225.13,0.0,0.0,0.0,1,0,MRO,LOW,0.015275,10,4,14
PO260117000378-L0002,PO260117000378,2,7428-6522-0002,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,101.0,28.13,101.0,101.0,28.13,0.0,0.0,0.0,1,0,MRO,LOW,0.015275,10,4,14
PO260117000378-L0003,PO260117000378,3,7560-1020-0003,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,18.0,246.21,18.0,18.0,246.21,0.0,0.0,0.0,1,0,MRO,LOW,0.015275,10,4,14
PO260117000471-L0001,PO260117000471,1,6613-4338-0001,MANUAL_REVIEW,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",213.0,173.78,176.0,213.0,173.78,0.0,0.0,0.0,1,0,MRO,MEDIUM,0.124763,2,1,3
PO260117000561-L0001,PO260117000561,1,9073-5826-0001,MANUAL_REVIEW,UOM_DISCREPANCY,UOM_DISCREPANCY,Procurement,"Normalize UOM using item master conversion. If mismatch persists, request corrected docs.",8.0,198.05,8.0,8.0,198.05,0.0,0.0,0.0,1,0,RAW_MATERIAL,MEDIUM,0.078059,4,1,5
PO260117000561-L0002,PO260117000561,2,8737-4247-0002,MANUAL_REVIEW,UOM_DISCREPANCY,UOM_DISCREPANCY,Procurement,"Normalize UOM using item master conversion. If mismatch persists, request corrected docs.",178.0,152.27,178.0,178.0,152.27,0.0,0.0,0.0,1,0,RAW_MATERIAL,MEDIUM,0.078059,4,1,5
PO260117000561-L0003,PO260117000561,3,6640-7328-0003,MANUAL_REVIEW,UOM_DISCREPANCY,UOM_DISCREPANCY,Procurement,"Normalize UOM using item master conversion. If mismatch persists, request corrected docs.",245.0,243.69,245.0,245.0,243.69,0.0,0.0,0.0,1,0,RAW_MATERIAL,MEDIUM,0.078059,4,1,5
PO260117000561-L0004,PO260117000561,4,2319-3613-0004,MANUAL_REVIEW,UOM_DISCREPANCY,UOM_DISCREPANCY,Procurement,"Normalize UOM using item master conversion. If mismatch persists, request corrected docs.",59.0,118.84,59.0,59.0,118.84,0.0,0.0,0.0,1,0,RAW_MATERIAL,MEDIUM,0.078059,4,1,5
PO260117000561-L0005,PO260117000561,5,6533-3349-0005,MANUAL_REVIEW,UOM_DISCREPANCY,UOM_DISCREPANCY,Procurement,"Normalize UOM using item master conversion. If mismatch persists, request corrected docs.",160.0,246.35,160.0,160.0,246.35,0.0,0.0,0.0,1,0,RAW_MATERIAL,MEDIUM,0.078059,4,1,5
PO260117000669-L0001,PO260117000669,1,3785-2082-0001,MANUAL_REVIEW,UOM_DISCREPANCY,UOM_DISCREPANCY,Procurement,"Normalize UOM using item master conversion. If mismatch persists, request corrected docs.",39.0,148.73,39.0,39.0,148.73,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.060181,2,5,7
PO260117000669-L0002,PO260117000669,2,8624-2395-0002,MANUAL_REVIEW,UOM_DISCREPANCY,UOM_DISCREPANCY,Procurement,"Normalize UOM using item master conversion. If mismatch persists, request corrected docs.",169.0,234.52,169.0,169.0,234.52,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.060181,2,5,7
PO260117000794-L0001,PO260117000794,1,3142-8714-0001,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,135.0,128.86,135.0,135.0,128.86,0.0,0.0,0.0,1,0,PACKAGING,HIGH,0.142841,9,3,12
PO260117000794-L0002,PO260117000794,2,8211-3001-0002,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,199.0,200.29,199.0,199.0,200.29,0.0,0.0,0.0,1,0,PACKAGING,HIGH,0.142841,9,3,12
PO260117000794-L0003,PO260117000794,3,3823-2320-0003,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,159.0,181.99,159.0,159.0,181.99,0.0,0.0,0.0,1,0,PACKAGING,HIGH,0.142841,9,3,12
PO260117000794-L0004,PO260117000794,4,2011-5341-0004,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,201.0,194.68,201.0,201.0,194.68,0.0,0.0,0.0,1,0,PACKAGING,HIGH,0.142841,9,3,12
PO260117000794-L0005,PO260117000794,5,1930-4072-0005,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,71.0,12.94,71.0,71.0,12.94,0.0,0.0,0.0,1,0,PACKAGING,HIGH,0.142841,9,3,12
PO260117000876-L0001,PO260117000876,1,8332-2247-0001,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",32.0,99.61,32.0,32.0,99.61,0.0,0.0,0.0,1,0,SERVICES,MEDIUM,0.04986,5,4,9
PO260117000876-L0002,PO260117000876,2,6177-1189-0002,MANUAL_REVIEW,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",110.0,20.6,109.0,105.0,20.6,-5.0,-0.045454545454545456,0.0,1,0,SERVICES,MEDIUM,0.04986,5,4,9
PO260117000976-L0001,PO260117000976,1,2848-3745-0001,MANUAL_REVIEW,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",22.0,68.23,21.0,21.0,68.23,-1.0,-0.045454545454545456,0.0,1,0,MRO,LOW,0.029265,5,4,9
PO260117001025-L0001,PO260117001025,1,7844-4389-0001,MANUAL_REVIEW,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,12.0,132.91,12.0,12.0,132.91,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.034597,1,2,3
PO260117001025-L0002,PO260117001025,2,4906-1794-0002,MANUAL_REVIEW,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,68.0,14.97,68.0,68.0,14.97,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.034597,1,2,3
PO260117001025-L0003,PO260117001025,3,4305-5112-0003,AUTO_APPROVE,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,136.0,190.48,136.0,136.0,190.48,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.034597,1,2,3
PO260117001025-L0004,PO260117001025,4,5750-7303-0004,AUTO_APPROVE,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,70.0,88.38,70.0,70.0,88.38,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.034597,1,2,3
PO260117001025-L0005,PO260117001025,5,1297-4104-0005,MANUAL_REVIEW,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,4.0,7.06,4.0,4.0,7.06,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.034597,1,2,3
PO260117001158-L0001,PO260117001158,1,4968-4802-0001,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",118.0,48.37,116.0,118.0,48.37,0.0,0.0,0.0,1,0,MRO,LOW,0.024167,9,5,14
PO260117001158-L0002,PO260117001158,2,5407-7305-0002,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",68.0,92.62,68.0,68.0,92.62,0.0,0.0,0.0,1,0,MRO,LOW,0.024167,9,5,14
PO260117001158-L0003,PO260117001158,3,6389-8964-0003,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",63.0,11.03,63.0,63.0,11.03,0.0,0.0,0.0,1,0,MRO,LOW,0.024167,9,5,14
PO260117001229-L0001,PO260117001229,1,1717-8405-0001,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,188.0,176.01,188.0,188.0,176.01,0.0,0.0,0.0,1,0,SERVICES,LOW,0.003375,10,5,15
PO260117001229-L0002,PO260117001229,2,9282-2283-0002,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,212.0,172.4,212.0,212.0,172.4,0.0,0.0,0.0,1,0,SERVICES,LOW,0.003375,10,5,15
PO260117001397-L0001,PO260117001397,1,8486-1149-0001,MANUAL_REVIEW,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,169.0,132.68,169.0,169.0,132.68,0.0,0.0,0.0,1,0,MRO,MEDIUM,0.182694,8,2,10
PO260117001472-L0001,PO260117001472,1,9021-4766-0001,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,119.0,117.81,119.0,119.0,117.81,0.0,0.0,0.0,1,0,PACKAGING,MEDIUM,0.110695,2,5,7
PO260117001472-L0002,PO260117001472,2,2941-8997-0002,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,80.0,244.59,80.0,80.0,244.78,0.0,0.0,0.000776810172124771,1,0,PACKAGING,MEDIUM,0.110695,2,5,7
PO260117001572-L0001,PO260117001572,1,9055-7386-0001,MANUAL_REVIEW,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,78.0,182.48,78.0,78.0,182.48,0.0,0.0,0.0,1,0,RAW_MATERIAL,LOW,0.047068,1,1,2
PO260117001645-L0001,PO260117001645,1,3439-4085-0001,MANUAL_REVIEW,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,112.0,128.96,112.0,112.0,128.96,0.0,0.0,0.0,1,0,PACKAGING,HIGH,0.184882,1,5,6
PO260117001645-L0002,PO260117001645,2,4110-6117-0002,MANUAL_REVIEW,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,227.0,9.68,227.0,227.0,9.79,0.0,0.0,0.011363636363636305,1,0,PACKAGING,HIGH,0.184882,1,5,6
PO260117001645-L0003,PO260117001645,3,7554-9080-0003,MANUAL_REVIEW,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,185.0,22.44,185.0,185.0,22.44,0.0,0.0,0.0,1,0,PACKAGING,HIGH,0.184882,1,5,6
PO260117001774-L0001,PO260117001774,1,8421-5454-0001,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,110.0,37.05,110.0,110.0,37.05,0.0,0.0,0.0,1,0,RAW_MATERIAL,LOW,0.0,8,4,12
PO260117001774-L0002,PO260117001774,2,4152-4000-0002,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,45.0,87.13,45.0,45.0,87.13,0.0,0.0,0.0,1,0,RAW_MATERIAL,LOW,0.0,8,4,12
PO260117001821-L0001,PO260117001821,1,8304-7076-0001,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",218.0,204.05,209.0,218.0,204.05,0.0,0.0,0.0,1,0,SERVICES,LOW,0.039739,4,3,7
PO260117001821-L0002,PO260117001821,2,1357-2085-0002,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",109.0,178.1,109.0,109.0,178.1,0.0,0.0,0.0,1,0,SERVICES,LOW,0.039739,4,3,7
PO260117001821-L0003,PO260117001821,3,8754-9621-0003,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",1.0,20.6,1.0,1.0,20.6,0.0,0.0,0.0,1,0,SERVICES,LOW,0.039739,4,3,7
PO260117001821-L0004,PO260117001821,4,9648-7671-0004,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",64.0,196.32,64.0,64.0,196.32,0.0,0.0,0.0,1,0,SERVICES,LOW,0.039739,4,3,7
PO260117001924-L0001,PO260117001924,1,4140-6359-0001,AUTO_APPROVE,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,58.0,198.15,58.0,58.0,198.15,0.0,0.0,0.0,1,0,CAPEX,MEDIUM,0.004751,2,2,4
PO260117001924-L0002,PO260117001924,2,1018-0172-0002,AUTO_APPROVE,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,118.0,71.45,118.0,118.0,71.45,0.0,0.0,0.0,1,0,CAPEX,MEDIUM,0.004751,2,2,4
PO260117001924-L0003,PO260117001924,3,6183-3971-0003,AUTO_APPROVE,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,135.0,60.61,135.0,135.0,60.61,0.0,0.0,0.0,1,0,CAPEX,MEDIUM,0.004751,2,2,4
PO260117001924-L0004,PO260117001924,4,5047-0480-0004,AUTO_APPROVE,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,181.0,163.29,181.0,181.0,163.29,0.0,0.0,0.0,1,0,CAPEX,MEDIUM,0.004751,2,2,4
PO260117001924-L0005,PO260117001924,5,1906-0357-0005,AUTO_APPROVE,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,128.0,221.5,128.0,128.0,221.5,0.0,0.0,0.0,1,0,CAPEX,MEDIUM,0.004751,2,2,4
PO260117002038-L0001,PO260117002038,1,3398-6447-0001,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,55.0,8.35,55.0,55.0,8.35,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.01042,7,5,12
PO260117002166-L0001,PO260117002166,1,5584-1324-0001,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",108.0,238.99,105.0,108.0,238.99,0.0,0.0,0.0,1,0,PACKAGING,HIGH,0.112667,2,0,2
PO260117002258-L0001,PO260117002258,1,5210-3194-0001,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",231.0,152.39,206.0,231.0,152.39,0.0,0.0,0.0,1,0,CAPEX,LOW,0.015631,8,0,8
PO260117002365-L0001,PO260117002365,1,3997-0143-0001,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",211.0,173.8,211.0,211.0,173.8,0.0,0.0,0.0,1,0,CAPEX,MEDIUM,0.051115,8,1,9
PO260117002365-L0002,PO260117002365,2,3479-9950-0002,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",84.0,215.66,84.0,84.0,215.66,0.0,0.0,0.0,1,0,CAPEX,MEDIUM,0.051115,8,1,9
PO260117002365-L0003,PO260117002365,3,8549-5929-0003,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",132.0,51.33,132.0,132.0,51.33,0.0,0.0,0.0,1,0,CAPEX,MEDIUM,0.051115,8,1,9
PO260117002365-L0004,PO260117002365,4,3620-4052-0004,AUTO_APPROVE,QTY_SHORT,QTY_SHORT,Logistics,"Flag as short shipment. Notify supplier, request backorder/credit, and update receiving reconciliation.",17.0,163.26,17.0,17.0,163.26,0.0,0.0,0.0,1,0,CAPEX,MEDIUM,0.051115,8,1,9
PO260117002444-L0001,PO260117002444,1,4263-7200-0001,MANUAL_REVIEW,DUPLICATE_INVOICE,DUPLICATE_INVOICE,Finance,Detect duplicate invoice. Auto-hold duplicate and notify AP for review before payment.,48.0,63.22,48.0,72.0,63.22,24.0,0.5,0.0,1,1,MRO,MEDIUM,0.071177,5,5,10
PO260117002444-L0002,PO260117002444,2,3512-4610-0002,MANUAL_REVIEW,DUPLICATE_INVOICE,DUPLICATE_INVOICE,Finance,Detect duplicate invoice. Auto-hold duplicate and notify AP for review before payment.,84.0,18.54,84.0,90.0,18.54,6.0,0.07142857142857142,0.0,1,1,MRO,MEDIUM,0.071177,5,5,10
PO260117002444-L0003,PO260117002444,3,5123-4030-0003,MANUAL_REVIEW,DUPLICATE_INVOICE,DUPLICATE_INVOICE,Finance,Detect duplicate invoice. Auto-hold duplicate and notify AP for review before payment.,167.0,202.59,167.0,243.0,202.59,76.0,0.4550898203592814,0.0,1,1,MRO,MEDIUM,0.071177,5,5,10
PO260117002595-L0001,PO260117002595,1,6729-3566-0001,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,95.0,86.65,95.0,95.0,86.65,0.0,0.0,0.0,1,0,SERVICES,LOW,0.045578,2,5,7
PO260117002595-L0002,PO260117002595,2,1723-3342-0002,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,10.0,150.86,10.0,10.0,150.86,0.0,0.0,0.0,1,0,SERVICES,LOW,0.045578,2,5,7
PO260117002595-L0003,PO260117002595,3,4333-0187-0003,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,105.0,170.38,105.0,105.0,170.38,0.0,0.0,0.0,1,0,SERVICES,LOW,0.045578,2,5,7
PO260117002595-L0004,PO260117002595,4,4033-5116-0004,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,53.0,10.29,53.0,53.0,10.29,0.0,0.0,0.0,1,0,SERVICES,LOW,0.045578,2,5,7
PO260117002595-L0005,PO260117002595,5,9120-8980-0005,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,17.0,103.52,17.0,17.0,103.52,0.0,0.0,0.0,1,0,SERVICES,LOW,0.045578,2,5,7
PO260117002612-L0001,PO260117002612,1,7401-6636-0001,MANUAL_REVIEW,UNAUTHORIZED_SHIP,UNAUTHORIZED_SHIP,Vendor,Flag unauthorized shipment. Validate PO authorization/ship-to; initiate return or chargeback workflow.,242.0,3.95,242.0,242.0,3.95,0.0,0.0,0.0,1,0,PACKAGING,MEDIUM,0.110799,6,5,11
PO260117002612-L0002,PO260117002612,2,3565-6943-0002,MANUAL_REVIEW,UNAUTHORIZED_SHIP,UNAUTHORIZED_SHIP,Vendor,Flag unauthorized shipment. Validate PO authorization/ship-to; initiate return or chargeback workflow.,211.0,24.9,211.0,211.0,24.9,0.0,0.0,0.0,0,0,PACKAGING,MEDIUM,0.110799,6,5,11
PO260117002731-L0001,PO260117002731,1,9036-3234-0001,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,33.0,209.73,33.0,33.0,209.73,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.016197,2,0,2
PO260117002731-L0002,PO260117002731,2,1712-7910-0002,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,14.0,152.89,14.0,14.0,152.89,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.016197,2,0,2
PO260117002731-L0003,PO260117002731,3,7355-1414-0003,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,164.0,196.99,164.0,164.0,196.99,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.016197,2,0,2
PO260117002731-L0004,PO260117002731,4,4638-6628-0004,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,213.0,119.56,213.0,213.0,119.57,0.0,0.0,8.364001338232607e-05,1,0,PACKAGING,LOW,0.016197,2,0,2
PO260117002859-L0001,PO260117002859,1,8181-2929-0001,AUTO_APPROVE,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,1.0,155.68,1.0,1.0,155.68,0.0,0.0,0.0,1,0,PACKAGING,MEDIUM,0.069167,6,3,9
PO260117002859-L0002,PO260117002859,2,9019-7624-0002,MANUAL_REVIEW,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,115.0,191.48,115.0,115.0,191.48,0.0,0.0,0.0,1,0,PACKAGING,MEDIUM,0.069167,6,3,9
PO260117002859-L0003,PO260117002859,3,8508-2943-0003,AUTO_APPROVE,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,103.0,29.0,103.0,103.0,29.0,0.0,0.0,0.0,1,0,PACKAGING,MEDIUM,0.069167,6,3,9
PO260117002859-L0004,PO260117002859,4,3104-5875-0004,MANUAL_REVIEW,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,94.0,25.2,94.0,94.0,25.2,0.0,0.0,0.0,1,0,PACKAGING,MEDIUM,0.069167,6,3,9
PO260117002859-L0005,PO260117002859,5,8241-8264-0005,AUTO_APPROVE,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,11.0,160.02,11.0,11.0,160.02,0.0,0.0,0.0,1,0,PACKAGING,MEDIUM,0.069167,6,3,9
PO260117002938-L0001,PO260117002938,1,3601-5306-0001,MANUAL_REVIEW,UNAUTHORIZED_SHIP,UNAUTHORIZED_SHIP,Vendor,Flag unauthorized shipment. Validate PO authorization/ship-to; initiate return or chargeback workflow.,232.0,204.37,232.0,232.0,204.37,0.0,0.0,0.0,1,0,RAW_MATERIAL,MEDIUM,0.108285,6,4,10
PO260117002938-L0002,PO260117002938,2,3352-4165-0002,MANUAL_REVIEW,UNAUTHORIZED_SHIP,UNAUTHORIZED_SHIP,Vendor,Flag unauthorized shipment. Validate PO authorization/ship-to; initiate return or chargeback workflow.,54.0,148.99,54.0,54.0,148.99,0.0,0.0,0.0,1,0,RAW_MATERIAL,MEDIUM,0.108285,6,4,10
PO260117002938-L0003,PO260117002938,3,9290-3890-0003,MANUAL_REVIEW,UNAUTHORIZED_SHIP,UNAUTHORIZED_SHIP,Vendor,Flag unauthorized shipment. Validate PO authorization/ship-to; initiate return or chargeback workflow.,96.0,11.62,96.0,96.0,11.62,0.0,0.0,0.0,0,0,RAW_MATERIAL,MEDIUM,0.108285,6,4,10
PO260117003078-L0001,PO260117003078,1,5337-6157-0001,MANUAL_REVIEW,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,148.0,38.68,148.0,148.0,38.68,0.0,0.0,0.0,1,0,SERVICES,MEDIUM,0.104216,7,5,12
PO260117003078-L0002,PO260117003078,2,6420-1334-0002,MANUAL_REVIEW,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,59.0,46.25,59.0,59.0,42.79,0.0,0.0,-0.07481081081081083,1,0,SERVICES,MEDIUM,0.104216,7,5,12
PO260117003078-L0003,PO260117003078,3,1791-4856-0003,AUTO_APPROVE,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,80.0,160.71,80.0,80.0,160.71,0.0,0.0,0.0,1,0,SERVICES,MEDIUM,0.104216,7,5,12
